harga_juta,luas_tanah,luas_bangunan,bed,bath,carport
1790.0,120.0,110.0,3.0,3.0,2.0
399.0,102.0,126.0,3.0,2.0,1.0
695.0,100.0,100.0,2.0,2.0,1.0
560.0,109.0,67.0,3.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
1470.0,125.0,157.0,5.0,3.0,1.0
560.0,109.0,67.0,3.0,1.0,1.0
2100.0,206.0,280.0,6.0,5.0,2.0
1600.0,290.0,200.0,5.0,4.0,2.0
2400.0,290.0,220.0,3.0,3.0,1.0
875.0,145.0,85.0,3.0,2.0,1.0
570.0,83.0,50.0,2.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
750.0,140.0,90.0,4.0,2.0,1.0
1850.0,166.0,200.0,4.0,4.0,2.0
745.0,209.0,180.0,3.0,1.0,2.0
1700.0,169.0,125.0,4.0,3.0,2.0
3800.0,290.0,280.0,4.0,3.0,2.0
455.0,80.0,45.0,2.0,1.0,1.0
1100.0,171.0,150.0,4.0,3.0,2.0
850.0,135.0,80.0,3.0,2.0,1.0
3500.0,290.0,280.0,6.0,5.0,2.0
1300.0,134.0,200.0,3.0,2.0,1.0
3800.0,235.0,280.0,6.0,5.0,2.0
1850.0,135.0,165.0,4.0,3.0,2.0
3800.0,275.0,275.0,3.0,2.0,2.0
3800.0,267.0,280.0,5.0,5.0,2.0
2000.0,196.0,230.0,6.0,5.0,2.0
1400.0,205.0,150.0,3.0,2.0,2.0
765.0,109.0,80.0,3.0,2.0,2.0
2200.0,139.0,125.0,3.0,3.0,1.0
3100.0,146.0,280.0,5.0,3.0,1.0
3800.0,290.0,280.0,4.0,4.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
2500.0,128.0,130.0,6.0,4.0,1.0
1950.0,128.0,188.0,3.0,3.0,1.0
3800.0,290.0,280.0,5.0,3.0,2.0
1080.0,147.0,85.0,3.0,2.0,2.0
969.0,102.0,100.0,3.0,3.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
3800.0,290.0,280.0,5.0,5.0,2.0
2100.0,139.0,100.0,3.0,3.0,1.0
3200.0,204.0,200.0,5.0,5.0,2.0
2100.0,139.0,100.0,3.0,3.0,1.0
500.0,80.0,90.0,3.0,1.0,1.0
1300.0,156.0,85.0,3.0,2.0,2.0
900.0,111.0,70.0,3.0,2.0,2.0
3400.0,290.0,280.0,6.0,4.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
2480.0,192.0,135.0,4.0,3.0,1.0
2450.0,187.0,135.0,4.0,3.0,1.0
2650.0,213.0,135.0,4.0,3.0,1.0
2430.0,192.0,135.0,4.0,3.0,1.0
2490.0,200.0,135.0,4.0,3.0,1.0
1200.0,100.0,88.0,3.0,2.0,2.0
1650.0,290.0,150.0,3.0,4.0,2.0
2250.0,100.0,160.0,6.0,5.0,2.0
900.0,120.0,84.0,4.0,2.0,1.0
2350.0,120.0,185.0,4.0,3.0,1.0
1450.0,150.0,95.0,3.0,3.0,1.0
450.0,97.0,45.0,2.0,1.0,2.0
845.0,80.0,65.0,2.0,2.0,2.0
1800.0,134.0,90.0,3.0,2.0,2.0
3500.0,288.0,280.0,4.0,5.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
1380.0,107.0,100.0,3.0,2.0,1.0
1200.0,128.0,250.0,4.0,5.0,1.0
750.0,80.0,120.0,6.0,2.0,1.0
750.0,166.0,45.0,2.0,1.0,2.0
1650.0,200.0,135.0,3.0,3.0,1.0
900.0,140.0,80.0,3.0,2.0,1.0
499.0,120.0,45.0,2.0,1.0,1.0
1600.0,118.0,140.0,4.0,3.0,2.0
1450.0,100.0,85.0,3.0,2.0,1.0
1500.0,204.0,100.0,4.0,3.0,2.0
1850.0,116.0,115.0,3.0,2.0,2.0
1600.0,126.0,130.0,4.0,4.0,2.0
2500.0,290.0,168.0,3.0,3.0,1.0
2500.0,290.0,168.0,3.0,3.0,1.0
1670.0,162.0,120.0,4.0,2.0,2.0
3800.0,290.0,100.0,4.0,4.0,1.0
3800.0,290.0,280.0,6.0,3.0,2.0
2360.0,182.0,135.0,4.0,3.0,1.0
2460.0,196.0,135.0,4.0,3.0,1.0
2430.0,192.0,135.0,4.0,3.0,1.0
2400.0,187.0,136.0,4.0,3.0,1.0
1590.0,90.0,115.0,3.0,3.0,1.0
576.0,144.0,80.0,3.0,2.0,1.0
2540.0,200.0,135.0,4.0,3.0,1.0
399.0,80.0,95.0,2.0,1.0,1.0
3300.0,110.0,280.0,6.0,5.0,1.0
995.0,109.0,75.0,3.0,2.0,1.0
410.0,112.0,60.0,2.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
2400.0,290.0,220.0,4.0,3.0,1.0
1790.0,113.0,175.0,4.0,3.0,1.0
399.0,100.0,45.0,2.0,1.0,1.0
550.0,101.0,55.0,3.0,2.0,1.0
2400.0,121.0,140.0,3.0,2.0,1.0
410.0,80.0,45.0,2.0,1.0,1.0
2900.0,140.0,115.0,3.0,3.0,2.0
650.0,90.0,150.0,4.0,2.0,1.0
775.0,132.0,90.0,2.0,1.0,1.0
1000.0,131.0,115.0,6.0,5.0,2.0
999.0,103.0,100.0,3.0,3.0,1.0
3800.0,290.0,280.0,5.0,5.0,2.0
1200.0,290.0,280.0,4.0,2.0,2.0
695.0,100.0,65.0,2.0,2.0,1.0
675.0,85.0,45.0,2.0,1.0,1.0
3800.0,290.0,150.0,3.0,3.0,2.0
725.0,114.0,71.0,3.0,2.0,2.0
815.0,80.0,50.0,2.0,2.0,1.0
455.0,83.0,45.0,2.0,1.0,1.0
1300.0,126.0,80.0,3.0,1.0,2.0
690.0,80.0,60.0,3.0,2.0,2.0
3800.0,290.0,280.0,4.0,3.0,2.0
2430.0,192.0,135.0,4.0,3.0,1.0
575.0,98.0,115.0,3.0,2.0,1.0
3800.0,290.0,190.0,4.0,4.0,2.0
1850.0,126.0,115.0,3.0,2.0,1.0
580.0,90.0,65.0,3.0,2.0,1.0
3800.0,290.0,150.0,3.0,3.0,2.0
3100.0,225.0,280.0,6.0,4.0,2.0
750.0,166.0,45.0,2.0,1.0,1.0
3800.0,290.0,280.0,6.0,5.0,2.0
799.0,111.0,60.0,3.0,2.0,1.0
799.0,80.0,50.0,3.0,2.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
3800.0,235.0,280.0,6.0,5.0,2.0
950.0,90.0,62.0,4.0,4.0,1.0
800.0,101.0,60.0,3.0,2.0,1.0
3800.0,207.0,280.0,6.0,5.0,2.0
1700.0,100.0,200.0,6.0,5.0,2.0
399.0,80.0,45.0,2.0,1.0,1.0
